
---------- Begin Simulation Statistics ----------
simSeconds                                   0.209698                       # Number of seconds simulated (Second)
simTicks                                 209697742000                       # Number of ticks simulated (Tick)
finalTick                                209697742000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    277.33                       # Real time elapsed on the host (Second)
hostTickRate                                756117835                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     682496                       # Number of bytes of host memory used (Byte)
simInsts                                     20000000                       # Number of instructions simulated (Count)
simOps                                       27556226                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    72115                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      99361                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        419395485                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                              20.969774                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.047688                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        31780154                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      123                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       31769887                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    118                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4224048                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1630036                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  81                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           419356627                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.075759                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.505912                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 407821137     97.25%     97.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3292076      0.79%     98.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1088314      0.26%     98.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3807272      0.91%     99.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2151003      0.51%     99.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1014594      0.24%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    108669      0.03%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     38125      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     35437      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             419356627                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    5604     97.21%     97.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     97.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     97.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     97.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     97.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     97.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     97.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     97.21% # attempts to use FU when none available (Count)
