
---------- Begin Simulation Statistics ----------
simSeconds                                   0.209718                       # Number of seconds simulated (Second)
simTicks                                 209718110000                       # Number of ticks simulated (Tick)
finalTick                                209718110000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    279.20                       # Real time elapsed on the host (Second)
hostTickRate                                751138247                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     670348                       # Number of bytes of host memory used (Byte)
simInsts                                     20000000                       # Number of instructions simulated (Count)
simOps                                       27556226                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    71633                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      98697                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        419436221                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                              20.971811                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.047683                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        30460560                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      103                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       30454266                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     91                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2904434                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1084578                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  61                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           419394733                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.072615                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.477785                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 407823827     97.24%     97.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3246803      0.77%     98.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1041647      0.25%     98.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   4632595      1.10%     99.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2280911      0.54%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    236027      0.06%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     26429      0.01%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     87921      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     18573      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             419394733                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   24568     99.55%     99.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     99.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     99.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     99.55% # attempts to use FU when none available (Count)
