
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002246                       # Number of seconds simulated (Second)
simTicks                                   2245535000                       # Number of ticks simulated (Tick)
finalTick                                  2245535000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    944.08                       # Real time elapsed on the host (Second)
hostTickRate                                  2378534                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     671236                       # Number of bytes of host memory used (Byte)
simInsts                                       368504                       # Number of instructions simulated (Count)
simOps                                         562917                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                      390                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                        596                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.cpu.numCycles                          4491071                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                              12.187306                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.082053                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          667766                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      115                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         660981                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     99                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               104964                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             68953                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  73                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             4452555                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.148450                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.755171                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   4233735     95.09%     95.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     57642      1.29%     96.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     23447      0.53%     96.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     64613      1.45%     98.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     38311      0.86%     99.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     13162      0.30%     99.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     10603      0.24%     99.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      8402      0.19%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      2640      0.06%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               4452555                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    8649     98.50%     98.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     98.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     98.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     98.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     98.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     98.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     98.50% # attempts to use FU when none available (Count)
